Title,Year,Authors,Venue,Citation Count,Scholar URL,Abstract
Multi-modal time series analysis: A tutorial and survey,2025,"Y Jiang, K Ning, Z Pan, X Shen, J Ni, W Yu, A Schneider, H Chen, ...","Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and … , 2025",48,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:u_35RYKgDlwC,"Multi-modal time series analysis has recently emerged as a prominent research area, driven by the increasing availability of diverse data modalities, such as text, images, and structured tabular data from real-world sources. However, effective analysis of multi-modal time series is hindered by data heterogeneity, modality gap, misalignment, and inherent noise. Recent advancements in multi-modal time series methods have exploited the multi-modal context via cross-modal interactions based on deep learning methods, significantly enhancing various downstream tasks. In this tutorial and survey, we present a systematic and up-to-date overview of multi-modal time series datasets and methods. We first state the existing challenges of multi-modal time series analysis and our motivations, with a brief introduction of preliminaries. Then, we summarize the general pipeline and categorize existing methods through a …"
Harnessing vision models for time series analysis: A survey,2025,"J Ni, Z Zhao, CA Shen, H Tong, D Song, W Cheng, D Luo, H Chen","arXiv preprint arXiv:2502.08869 , 2025",35,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:zA6iFVUQeVQC,"Time series analysis has witnessed the inspiring development from traditional autoregressive models, deep learning models, to recent Transformers and Large Language Models (LLMs). Efforts in leveraging vision models for time series analysis have also been made along the way but are less visible to the community due to the predominant research on sequence modeling in this domain. However, the discrepancy between continuous time series and the discrete token space of LLMs, and the challenges in explicitly modeling the correlations of variates in multivariate time series have shifted some research attentions to the equally successful Large Vision Models (LVMs) and Vision Language Models (VLMs). To fill the blank in the existing literature, this survey discusses the advantages of vision models over LLMs in time series analysis. It provides a comprehensive and in-depth overview of the existing methods, with dual views of detailed taxonomy that answer the key research questions including how to encode time series as images and how to model the imaged time series for various tasks. Additionally, we address the challenges in the pre- and post-processing steps involved in this framework and outline future directions to further advance time series analysis with vision models."
Generating in-distribution proxy graphs for explaining graph neural networks,2024,"Z Chen, J Zhang, J Ni, X Li, Y Bian, MM Islam, AM Mondal, H Wei, D Luo","arXiv preprint arXiv:2402.02036 , 2024",22,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:ZHo1McVdvXMC,"Graph Neural Networks (GNNs) have become a building block in graph data processing, with wide applications in critical domains. The growing needs to deploy GNNs in high-stakes applications necessitate explainability for users in the decision-making processes. A popular paradigm for the explainability of GNNs is to identify explainable subgraphs by comparing their labels with the ones of original graphs. This task is challenging due to the substantial distributional shift from the original graphs in the training set to the set of explainable subgraphs, which prevents accurate prediction of labels with the subgraphs. To address it, in this paper, we propose a novel method that generates proxy graphs for explainable subgraphs that are in the distribution of training data. We introduce a parametric method that employs graph generators to produce proxy graphs. A new training objective based on information theory is designed to ensure that proxy graphs not only adhere to the distribution of training data but also preserve explanatory factors. Such generated proxy graphs can be reliably used to approximate the predictions of the labels of explainable subgraphs. Empirical evaluations across various datasets demonstrate our method achieves more accurate explanations for GNNs."
Exploring Multi-Modal Data with Tool-Augmented LLM Agents for Precise Causal Discovery,2025,"CA Shen, Z Chen, D Luo, D Xu, H Chen, J Ni","Findings of the Association for Computational Linguistics: ACL 2025, 636-660 , 2025",20,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:rO6llkc54NcC,"Causal discovery is an imperative foundation for decision-making across domains, such as smart health, AI for drug discovery and AIOps. Traditional statistical causal discovery methods, while well-established, predominantly rely on observational data and often overlook the semantic cues inherent in cause-and-effect relationships. The advent of Large Language Models (LLMs) has ushered in an affordable way of leveraging the semantic cues for knowledge-driven causal discovery, but the development of LLMs for causal discovery lags behind other areas, particularly in the exploration of multi-modal data. To bridge the gap, we introduce MatMCD, a multi-agent system powered by tool-augmented LLMs. MatMCD has two key agents: a Data Augmentation agent that retrieves and processes modality-augmented data, and a Causal Constraint agent that integrates multi-modal data for knowledge-driven reasoning. The proposed design of the inner-workings ensures successful cooperation of the agents. Our empirical study across seven datasets suggests the significant potential of multi-modality enhanced causal discovery."
From Images to Signals: Are Large Vision Models Useful for Time Series Analysis?,2025,"Z Zhao, CA Shen, H Tong, D Song, Z Deng, Q Wen, J Ni","arXiv preprint arXiv:2505.24030 , 2025",6,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:dfsIfKJdRG4C,"Transformer-based models have gained increasing attention in time series research, driving interest in Large Language Models (LLMs) and foundation models for time series analysis. As the field moves toward multi-modality, Large Vision Models (LVMs) are emerging as a promising direction. In the past, the effectiveness of Transformer and LLMs in time series has been debated. When it comes to LVMs, a similar question arises: are LVMs truely useful for time series analysis? To address it, we design and conduct the first principled study involving 4 LVMs, 8 imaging methods, 18 datasets and 26 baselines across both high-level (classification) and low-level (forecasting) tasks, with extensive ablation analysis. Our findings indicate LVMs are indeed useful for time series classification but face challenges in forecasting. Although effective, the contemporary best LVM forecasters are limited to specific types of LVMs and imaging methods, exhibit a bias toward forecasting periods, and have limited ability to utilize long look-back windows. We hope our findings could serve as a cornerstone for future research on LVM- and multimodal-based solutions to different time series tasks."
Multi-modal view enhanced large vision models for long-term time series forecasting,2025,"CA Shen, W Yu, Z Zhao, D Song, W Cheng, H Chen, J Ni","arXiv preprint arXiv:2505.24003 , 2025",5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:4OULZ7Gr8RgC,"Time series, typically represented as numerical sequences, can also be transformed into images and texts, offering multi-modal views (MMVs) of the same underlying signal. These MMVs can reveal complementary patterns and enable the use of powerful pre-trained large models, such as large vision models (LVMs), for long-term time series forecasting (LTSF). However, as we identified in this work, the state-of-the-art (SOTA) LVM-based forecaster poses an inductive bias towards ""forecasting periods"". To harness this bias, we propose DMMV, a novel decomposition-based multi-modal view framework that leverages trend-seasonal decomposition and a novel backcast-residual based adaptive decomposition to integrate MMVs for LTSF. Comparative evaluations against 14 SOTA models across diverse datasets show that DMMV outperforms single-view and existing multi-modal baselines, achieving the best mean squared error (MSE) on 6 out of 8 benchmark datasets. The code for this paper is available at: https://github.com/D2I-Group/dmmv."
Explanation-Preserving Augmentation for Semi-Supervised Graph Representation Learning,2026,"Z Chen, J Ni, HA Salehi, X Zheng, E Schafir, F Shirani, D Luo","Proceedings of the AAAI Conference on Artificial Intelligence 40 (25), 20481 … , 2026",2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:3s1wT3WcHBgC,"Self-supervised graph representation learning (GRL) typically generates paired graph augmentations from each graph to infer similar representations for augmentations of the same graph, but distinguishable representations for different graphs. While effective augmentation requires both semantics-preservation and dataperturbation, most existing GRL methods focus solely on data-perturbation, leading to suboptimal solutions. To fill the gap, in this paper, we propose a novel method, Explanation-Preserving Augmentation (EPA), which leverages graph explanation for semantics-preservation. EPA first uses a small number of labels to train a graph explainer, which infers the subgraphs that explain the graph’s label. Then these explanations are used for generating semantics-preserving augmentations for boosting self-supervised GRL. Thus, the entire process, namely EPA-GRL, is semi-supervised. We demonstrate theoretically, using an analytical example, and through extensive experiments on a variety of benchmark datasets, that EPA-GRL outperforms the state-of-the-art (SOTA) GRL methods with semantics-agnostic augmentations."
TSAQA: Time Series Analysis Question And Answering Benchmark,2026,"B Jing, S Chen, L Zheng, B Liu, Z Li, J Zou, T Wei, Z Liu, Z Zeng, R Qiu, ...","arXiv preprint arXiv:2601.23204 , 2026",2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:pyW8ca7W8N0C,"Time series data are integral to critical applications across domains such as finance, healthcare, transportation, and environmental science. While recent work has begun to explore multi-task time series question answering (QA), current benchmarks remain limited to forecasting and anomaly detection tasks. We introduce TSAQA, a novel unified benchmark designed to broaden task coverage and evaluate diverse temporal analysis capabilities. TSAQA integrates six diverse tasks under a single framework ranging from conventional analysis, including anomaly detection and classification, to advanced analysis, such as characterization, comparison, data transformation, and temporal relationship analysis. Spanning 210k samples across 13 domains, the dataset employs diverse formats, including true-or-false (TF), multiple-choice (MC), and a novel puzzling (PZ), to comprehensively assess time series analysis. Zero-shot evaluation demonstrates that these tasks are challenging for current Large Language Models (LLMs): the best-performing commercial LLM, Gemini-2.5-Flash, achieves an average score of only 65.08. Although instruction tuning boosts open-source performance: the best-performing open-source model, LLaMA-3.1-8B, shows significant room for improvement, highlighting the complexity of temporal analysis for LLMs."
Melody: Robust semi-supervised hybrid model for entity-level online anomaly detection with multivariate time series,2024,"J Ni, G Guinet, P Jiang, L Callot, A Kan","arXiv preprint arXiv:2401.10338 , 2024",2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:2P1L_qKh6hAC,"In large IT systems, software deployment is a crucial process in online services as their code is regularly updated. However, a faulty code change may degrade the target service's performance and cause cascading outages in downstream services. Thus, software deployments should be comprehensively monitored, and their anomalies should be detected timely. In this paper, we study the problem of anomaly detection for deployments. We begin by identifying the challenges unique to this anomaly detection problem, which is at entity-level (e.g., deployments), relative to the more typical problem of anomaly detection in multivariate time series (MTS). The unique challenges include the heterogeneity of deployments, the low latency tolerance, the ambiguous anomaly definition, and the limited supervision. To address them, we propose a novel framework, semi-supervised hybrid Model for Entity-Level Online Detection of anomalY (MELODY). MELODY first transforms the MTS of different entities to the same feature space by an online feature extractor, then uses a newly proposed semi-supervised deep one-class model for detecting anomalous entities. We evaluated MELODY on real data of cloud services with 1.2M+ time series. The relative F1 score improvement of MELODY over the state-of-the-art methods ranges from 7.6% to 56.5%. The user evaluation suggests MELODY is suitable for monitoring deployments in large online systems."
"SVTime: Small Time Series Forecasting Models Informed by"" Physics"" of Large Vision Model Forecasters",2025,"CA Shen, Z Zhao, H Tong, D Song, D Luo, Q Wen, J Ni","arXiv preprint arXiv:2510.09780 , 2025",1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rH9MTZMAAAAJ&pagesize=100&citation_for_view=rH9MTZMAAAAJ:a0OBvERweLwC,"Time series AI is crucial for analyzing dynamic web content, driving a surge of pre-trained large models known for their strong knowledge encoding and transfer capabilities across diverse tasks. However, given their energy-intensive training, inference, and hardware demands, using large models as a one-fits-all solution raises serious concerns about carbon footprint and sustainability. For a specific task, a compact yet specialized, high-performing model may be more practical and affordable, especially for resource-constrained users such as small businesses. This motivates the question: Can we build cost-effective lightweight models with large-model-like performance on core tasks such as forecasting? This paper addresses this question by introducing SVTime, a novel Small model inspired by large Vision model (LVM) forecasters for long-term Time series forecasting (LTSF). Recently, LVMs have been shown as powerful tools for LTSF. We identify a set of key inductive biases of LVM forecasters -- analogous to the ""physics"" governing their behaviors in LTSF -- and design small models that encode these biases through meticulously crafted linear layers and constraint functions. Across 21 baselines spanning lightweight, complex, and pre-trained large models on 8 benchmark datasets, SVTime outperforms state-of-the-art (SOTA) lightweight models and rivals large models with 10^3 fewer parameters than LVMs, while enabling efficient training and inference in low-resource settings."
